year,month,day,hour,minute,Celsius,PAH,PAH-24,PAH-12,PAH-6,PAH-3,PAH-1,PAH+1,PAH+2,PAH+3,PAH+4,PAH+6,PAH+12,PAH+24,MPAH-6,MPAH-3,DayOfWeek
2019,7,4,0,0,12.96111111,18,18.1,11.9,33,31.4,19.1,18.7,18.4,17.5,16.1,15.2,6.1,18.2,22.26666667,25.45833333,5
2019,7,4,0,15,12.96111111,18.7,18.1,13.6,30.7,29.5,18.8,18.1,18.3,17.4,15.7,15,6.1,18,22.39375,24.83333333,5
2019,7,4,0,30,12.96111111,18.5,18,13.8,28.6,27.2,18.5,18,18.6,17.6,14,15.5,6.4,18.2,22.5,24.33333333,5
2019,7,4,0,45,12.96111111,18.6,18.2,14.2,26.5,25.2,18.3,18.2,18.2,16.6,13.7,16,6.8,18.1,22.59791667,23.9125,5
2019,7,4,1,0,12.96111111,18.7,17.8,12.7,25.7,22.2,18,18.4,17.5,16.1,14,16.9,6.1,18.4,22.68958333,23.58333333,5
2019,7,4,1,15,12.96111111,18.1,18.2,11.4,26.1,20.5,18.7,18.3,17.4,15.7,14.5,16.6,5.9,18.7,22.81458333,23.29166667,5
2019,7,4,1,30,12.96111111,18,18.1,12,26.4,19.4,18.5,18.6,17.6,14,15.3,16.5,6.3,18.9,22.95416667,22.95833333,5
2019,7,4,1,45,12.96111111,18.2,17.9,10.8,26.7,18.7,18.6,18.2,16.6,13.7,15.3,16.5,6.1,18.7,23.07916667,22.60833333,5
2019,7,4,2,0,12.51111111,18.4,18.4,10.1,27.7,19.1,18.7,17.5,16.1,14,15.2,14.3,6.5,18.6,23.23333333,22.25416667,5
2019,7,4,2,15,12.51111111,18.3,17.9,10.5,29.1,18.8,18.1,17.4,15.7,14.5,15,15,6.5,18.1,23.40625,21.86666667,5
2019,7,4,2,30,12.51111111,18.6,18,9.4,30.5,18.5,18,17.6,14,15.3,15.5,14.1,6.2,17.9,23.56875,21.41666667,5
2019,7,4,2,45,12.51111111,18.2,18.2,10.2,31.2,18.3,18.2,16.6,13.7,15.3,16,14.7,5.9,17.8,23.76041667,20.92083333,5
2019,7,4,3,0,12.8,17.5,17.7,10.7,31.4,18,18.4,16.1,14,15.2,16.9,17,6.4,17.5,23.92708333,20.37916667,5
2019,7,4,3,15,12.8,17.4,17.3,12.9,29.5,18.7,18.3,15.7,14.5,15,16.6,18.6,6.9,17.8,24.06875,19.8,5
2019,7,4,3,30,12.8,17.6,17.6,17,27.2,18.5,18.6,14,15.3,15.5,16.5,20.8,6.7,18.6,24.1625,19.29583333,5
2019,7,4,3,45,12.8,16.6,17.1,19.9,25.2,18.6,18.2,13.7,15.3,16,16.5,22.6,7.6,19.2,24.175,18.89583333,5
2019,7,4,4,0,12.8,16.1,17.8,24.8,22.2,18.7,17.5,14,15.2,16.9,14.3,24,7.2,19.1,24.10625,18.5375,5
2019,7,4,4,15,12.8,15.7,18.3,27.4,20.5,18.1,17.4,14.5,15,16.6,15,21.3,6.9,18.7,23.925,18.28333333,5
2019,7,4,4,30,12.8,14,18,30.6,19.4,18,17.6,15.3,15.5,16.5,14.1,17.3,8.9,17.2,23.68125,18.08333333,5
2019,7,4,4,45,12.8,13.7,17.3,34,18.7,18.2,16.6,15.3,16,16.5,14.7,12.4,14.3,15.4,23.33541667,17.85833333,5
2019,7,4,5,0,13.36666667,14,16.1,34.6,19.1,18.4,16.1,15.2,16.9,14.3,17,7.4,21,13.5,22.9125,17.65,5
2019,7,4,5,15,13.36666667,14.5,14,35.6,18.8,18.3,15.7,15,16.6,15,18.6,5.7,27.1,11.8,22.48333333,17.4375,5
2019,7,4,5,30,13.36666667,15.3,12.1,35.1,18.5,18.6,14,15.5,16.5,14.1,20.8,5.6,32.1,10.4,22.04375,17.25833333,5
2019,7,4,5,45,13.36666667,15.3,10.6,34.6,18.3,18.2,13.7,16,16.5,14.7,22.6,5.7,32.8,9,21.63125,17.125,5
2019,7,4,6,0,13.78888889,15.2,9.4,33,18,17.5,14,16.9,14.3,17,24,6.1,32.9,8.5,21.22916667,17,5
2019,7,4,6,15,13.78888889,15,9.8,30.7,18.7,17.4,14.5,16.6,15,18.6,21.3,6.1,33.3,7.6,20.85833333,16.88333333,5
2019,7,4,6,30,13.78888889,15.5,9.5,28.6,18.5,17.6,15.3,16.5,14.1,20.8,17.3,6.4,33.9,6,20.53125,16.72916667,5
2019,7,4,6,45,13.78888889,16,9.5,26.5,18.6,16.6,15.3,16.5,14.7,22.6,12.4,6.8,35.4,6,20.25833333,16.60416667,5
2019,7,4,7,0,13.78888889,16.9,10.8,25.7,18.7,16.1,15.2,14.3,17,24,7.4,6.1,36.9,5.9,20.03958333,16.49583333,5
2019,7,4,7,15,13.78888889,16.6,11.8,26.1,18.1,15.7,15,15,18.6,21.3,5.7,5.9,38.1,6,19.85625,16.42083333,5
2019,7,4,7,30,13.78888889,16.5,13,26.4,18,14,15.5,14.1,20.8,17.3,5.6,6.3,40.4,6.7,19.65833333,16.35833333,5
2019,7,4,7,45,13.78888889,16.5,15.2,26.7,18.2,13.7,16,14.7,22.6,12.4,5.7,6.1,42.8,6.3,19.45208333,16.29583333,5
2019,7,4,8,0,15,14.3,15.6,27.7,18.4,14,16.9,17,24,7.4,6.1,6.5,44.8,6.1,19.23958333,16.225,5
2019,7,4,8,15,15,15,15.7,29.1,18.3,14.5,16.6,18.6,21.3,5.7,6.1,6.5,47.3,5.9,18.96041667,16.05416667,5
2019,7,4,8,30,15,14.1,14.8,30.5,18.6,15.3,16.5,20.8,17.3,5.6,6.4,6.2,45,5.9,18.66666667,15.91666667,5
2019,7,4,8,45,15,14.7,13.4,31.2,18.2,15.3,16.5,22.6,12.4,5.7,6.8,5.9,41.4,6.4,18.325,15.72916667,5
2019,7,4,9,0,15.55555556,17,13.1,31.4,17.5,15.2,14.3,24,7.4,6.1,6.1,6.4,37.2,6.7,17.98125,15.58333333,5
2019,7,4,9,15,15.55555556,18.6,14.1,29.5,17.4,15,15,21.3,5.7,6.1,5.9,6.9,31.8,6.6,17.68125,15.5625,5
2019,7,4,9,30,15.55555556,20.8,16,27.2,17.6,15.5,14.1,17.3,5.6,6.4,6.3,6.7,28.7,6.3,17.45416667,15.6125,5
2019,7,4,9,45,15.55555556,22.6,16.1,25.2,16.6,16,14.7,12.4,5.7,6.8,6.1,7.6,25.8,5.7,17.32083333,15.74583333,5
2019,7,4,10,0,15.55555556,24,15.4,22.2,16.1,16.9,17,7.4,6.1,6.1,6.5,7.2,23.2,4.8,17.26666667,15.99583333,5
2019,7,4,10,15,15.55555556,21.3,13.6,20.5,15.7,16.6,18.6,5.7,6.1,5.9,6.5,6.9,21.3,4.5,17.30416667,16.325,5
2019,7,4,10,30,15.55555556,17.3,11.8,19.4,14,16.5,20.8,5.6,6.4,6.3,6.2,8.9,20.5,4.3,17.32083333,16.55833333,5
2019,7,4,10,45,15.55555556,12.4,12.2,18.7,13.7,16.5,22.6,5.7,6.8,6.1,5.9,14.3,19.5,4.3,17.27708333,16.69583333,5
2019,7,4,11,0,16.32777778,7.4,14.2,19.1,14,14.3,24,6.1,6.1,6.5,6.4,21,19.4,4.2,17.14583333,16.64166667,5
2019,7,4,11,15,16.32777778,5.7,13.3,18.8,14.5,15,21.3,6.1,5.9,6.5,6.9,27.1,19.5,4.1,16.90208333,16.36666667,5
2019,7,4,11,30,16.32777778,5.6,12.6,18.5,15.3,14.1,17.3,6.4,6.3,6.2,6.7,32.1,18.6,4.9,16.62916667,16,5
2019,7,4,11,45,16.32777778,5.7,12.2,18.3,15.3,14.7,12.4,6.8,6.1,5.9,7.6,32.8,18.6,5.4,16.36041667,15.59583333,5
2019,7,4,12,0,16.40555556,6.1,11.9,18,15.2,17,7.4,6.1,6.5,6.4,7.2,32.9,18.2,6,16.09791667,15.19583333,5
2019,7,4,12,15,16.40555556,6.1,13.6,18.7,15,18.6,5.7,5.9,6.5,6.9,6.9,33.3,18,6.3,15.85,14.81666667,5
2019,7,4,12,30,16.40555556,6.4,13.8,18.5,15.5,20.8,5.6,6.3,6.2,6.7,8.9,33.9,18.2,6,15.5875,14.44583333,5
2019,7,4,12,45,16.40555556,6.8,14.2,18.6,16,22.6,5.7,6.1,5.9,7.6,14.3,35.4,18.1,5.7,15.33541667,14.06666667,5
2019,7,4,13,0,16.40555556,6.1,12.7,18.7,16.9,24,6.1,6.5,6.4,7.2,21,36.9,18.4,5.7,15.08958333,13.68333333,5
2019,7,4,13,15,16.40555556,5.9,11.4,18.1,16.6,21.3,6.1,6.5,6.9,6.9,27.1,38.1,18.7,5.6,14.82708333,13.23333333,5
2019,7,4,13,30,16.40555556,6.3,12,18,16.5,17.3,6.4,6.2,6.7,8.9,32.1,40.4,18.9,5.5,14.57291667,12.7875,5
2019,7,4,13,45,16.40555556,6.1,10.8,18.2,16.5,12.4,6.8,5.9,7.6,14.3,32.8,42.8,18.7,5.2,14.32916667,12.3625,5
2019,7,4,14,0,16.23333333,6.5,10.1,18.4,14.3,7.4,6.1,6.4,7.2,21,32.9,44.8,18.6,5.3,14.07708333,11.92916667,5
2019,7,4,14,15,16.23333333,6.5,10.5,18.3,15,5.7,5.9,6.9,6.9,27.1,33.3,47.3,18.1,0,13.82916667,11.60416667,5
2019,7,4,14,30,16.23333333,6.2,9.4,18.6,14.1,5.6,6.3,6.7,8.9,32.1,33.9,45,17.9,5.1,13.58333333,11.25,5
2019,7,4,14,45,16.23333333,5.9,10.2,18.2,14.7,5.7,6.1,7.6,14.3,32.8,35.4,41.4,17.8,5.2,13.325,10.92083333,5
2019,7,4,15,0,16.01111111,6.4,10.7,17.5,17,6.1,6.5,7.2,21,32.9,36.9,37.2,17.5,4.8,13.06875,10.55416667,5
2019,7,4,15,15,16.01111111,6.9,12.9,17.4,18.6,6.1,6.5,6.9,27.1,33.3,38.1,31.8,17.8,0,12.8375,10.1125,5
2019,7,4,15,30,16.01111111,6.7,17,17.6,20.8,6.4,6.2,8.9,32.1,33.9,40.4,28.7,18.6,4.9,12.61875,9.625,5
2019,7,4,15,45,16.01111111,7.6,19.9,16.6,22.6,6.8,5.9,14.3,32.8,35.4,42.8,25.8,19.2,5.3,12.39166667,9.0375,5
2019,7,4,16,0,16.01111111,7.2,24.8,16.1,24,6.1,6.4,21,32.9,36.9,44.8,23.2,19.1,5.6,12.20416667,8.4125,5
2019,7,4,16,15,16.01111111,6.9,27.4,15.7,21.3,5.9,6.9,27.1,33.3,38.1,47.3,21.3,18.7,5.4,12.01875,7.7125,5
2019,7,4,16,30,16.01111111,8.9,30.6,14,17.3,6.3,6.7,32.1,33.9,40.4,45,20.5,17.2,4.9,11.83541667,7.1125,5
2019,7,4,16,45,16.01111111,14.3,34,13.7,12.4,6.1,7.6,32.8,35.4,42.8,41.4,19.5,15.4,4.5,11.72916667,6.7625,5
2019,7,4,17,0,15.27777778,21,34.6,14,7.4,6.5,7.2,32.9,36.9,44.8,37.2,19.4,13.5,3.9,11.74166667,6.841666667,5
2019,7,4,17,15,15.27777778,27.1,35.6,14.5,5.7,6.5,6.9,33.3,38.1,47.3,31.8,19.5,11.8,4.4,11.8875,7.408333333,5
2019,7,4,17,30,15.27777778,32.1,35.1,15.3,5.6,6.2,8.9,33.9,40.4,45,28.7,18.6,10.4,4.8,12.15,8.3,5
2019,7,4,17,45,15.27777778,32.8,34.6,15.3,5.7,5.9,14.3,35.4,42.8,41.4,25.8,18.6,9,5,12.5,9.404166667,5
2019,7,4,18,0,14.80555556,32.9,33,15.2,6.1,6.4,21,36.9,44.8,37.2,23.2,18.2,8.5,5.2,12.86458333,10.53333333,5
2019,7,4,18,15,14.80555556,33.3,30.7,15,6.1,6.9,27.1,38.1,47.3,31.8,21.3,18,7.6,5.6,13.23333333,11.65,5
2019,7,4,18,30,14.80555556,33.9,28.6,15.5,6.4,6.7,32.1,40.4,45,28.7,20.5,18.2,6,6,13.61458333,12.78333333,5
2019,7,4,18,45,14.80555556,35.4,26.5,16,6.8,7.6,32.8,42.8,41.4,25.8,19.5,18.1,6,6.8,13.99791667,13.92916667,5
2019,7,4,19,0,14.80555556,36.9,25.7,16.9,6.1,7.2,32.9,44.8,37.2,23.2,19.4,18.4,5.9,6.9,14.40208333,15.12083333,5
2019,7,4,19,15,14.80555556,38.1,26.1,16.6,5.9,6.9,33.3,47.3,31.8,21.3,19.5,18.7,6,6.5,14.81875,16.40416667,5
2019,7,4,19,30,14.80555556,40.4,26.4,16.5,6.3,8.9,33.9,45,28.7,20.5,18.6,18.9,6.7,6.4,15.26666667,17.74583333,5
2019,7,4,19,45,14.80555556,42.8,26.7,16.5,6.1,14.3,35.4,41.4,25.8,19.5,18.6,18.7,6.3,6,15.76458333,19.16666667,5
2019,7,4,20,0,14.20555556,44.8,27.7,14.3,6.5,21,36.9,37.2,23.2,19.4,18.2,18.6,6.1,7,16.3125,20.69583333,5
2019,7,4,20,15,14.20555556,47.3,29.1,15,6.5,27.1,38.1,31.8,21.3,19.5,18,18.1,5.9,7.1,16.94791667,22.29166667,5
2019,7,4,20,30,14.20555556,45,30.5,14.1,6.2,32.1,40.4,28.7,20.5,18.6,18.2,17.9,5.9,6.8,17.62083333,23.99166667,5
2019,7,4,20,45,14.20555556,41.4,31.2,14.7,5.9,32.8,42.8,25.8,19.5,18.6,18.1,17.8,6.4,6.6,18.26458333,25.60833333,5
2019,7,4,21,0,14.07222222,37.2,31.4,17,6.4,32.9,44.8,23.2,19.4,18.2,18.4,17.5,6.7,6,18.82083333,27.0875,5
2019,7,4,21,15,14.07222222,31.8,29.5,18.6,6.9,33.3,47.3,21.3,19.5,18,18.7,17.8,6.6,6,19.24166667,28.37083333,5
2019,7,4,21,30,14.07222222,28.7,27.2,20.8,6.7,33.9,45,20.5,18.6,18.2,18.9,18.6,6.3,5.9,19.51666667,29.40833333,5
2019,7,4,21,45,14.07222222,25.8,25.2,22.6,7.6,35.4,41.4,19.5,18.6,18.1,18.7,19.2,5.7,5.5,19.68125,30.325,5
2019,7,4,22,0,14.07222222,23.2,22.2,24,7.2,36.9,37.2,19.4,18.2,18.4,18.6,19.1,4.8,4.7,19.74791667,31.08333333,5
2019,7,4,22,15,14.07222222,21.3,20.5,21.3,6.9,38.1,31.8,19.5,18,18.7,18.1,18.7,4.5,4.1,19.73125,31.75,5
2019,7,4,22,30,14.07222222,20.5,19.4,17.3,8.9,40.4,28.7,18.6,18.2,18.9,17.9,17.2,4.3,4,19.73125,32.35,5
2019,7,4,22,45,14.07222222,19.5,18.7,12.4,14.3,42.8,25.8,18.6,18.1,18.7,17.8,15.4,4.3,4,19.79791667,32.83333333,5
2019,7,4,23,0,14.06111111,19.4,19.1,7.4,21,44.8,23.2,18.2,18.4,18.6,17.5,13.5,4.2,3.8,19.94583333,33.05,5
2019,7,4,23,15,14.06111111,19.5,18.8,5.7,27.1,47.3,21.3,18,18.7,18.1,17.8,11.8,4.1,3.6,20.19583333,32.98333333,5
2019,7,4,23,30,14.06111111,18.6,18.5,5.6,32.1,45,20.5,18.2,18.9,17.9,18.6,10.4,4.9,3.5,20.48333333,32.66666667,5
2019,7,4,23,45,14.06111111,18.6,18.3,5.7,32.8,41.4,19.5,18.1,18.7,17.8,19.2,9,5.4,7,20.75416667,32.10416667,5
